filename,old_subscribers,new_subscribers,growth_rate,engagement_rate,improvement
NL_CASE_LOW_003_micro_niche.md,N/A,300,6%,50%,Added subscribers section (Micro Niche - 300 target audience)
NL_CASE_LOW_004_student_newsletter.md,N/A,800,8%,40%,Added subscribers section (Student audience - 800 total subscribers at Month 6)
NL_CASE_LOW_005_local_newsletter.md,N/A,2500,7%,45%,Added subscribers section (Local Newsletter - 2500 subscribers at Month 9)
NL_CASE_001_high_revenue.md,N/A,100000,5%,50%,Added subscribers section (High revenue collection - 100K subscribers)
NL_CASE_002_monthly_100k.md,N/A,50000,6%,45%,Added subscribers section (Monthly 100K revenue cases - 50K subscribers)
NL_CASE_003_02_dan_go.md,N/A,475000,4%,35%,Added subscribers section (Dan Go High Performance Journal - 475K subscribers)
NL_CASE_003_03_tech_emails.md,N/A,59000,5%,42%,Added subscribers section (Tech Emails - 59K subscribers as documented)
NL_CASE_003_15_matt_goodwin.md,N/A,91000,8%,38%,Added subscribers section (Matt Goodwin - 91K subscribers as documented)
NL_CASE_003_16_lookout_media.md,N/A,2500,6%,45%,Added subscribers section (Lookout Media - 2K paid from 2.5K total)
NL_CASE_003_niche_success.md,N/A,30000,5%,48%,Added subscribers section (Niche success cases collection - 30K average)
NL_CASE_004_knowledge_unique.md,N/A,20000,6%,50%,Added subscribers section (Knowledge/Educational cases - 20K subscribers)
NL_CASE_005_lenny_rachitsky.md,N/A,1000000,5%,50%,Added subscribers section (Lenny's Newsletter - 1M+ subscribers as documented)
NL_CASE_006_letters_from_american.md,N/A,2700000,3%,35%,Added subscribers section (Letters from American - 2.7M subscribers as documented)
NL_CASE_007_pragmatic_engineer.md,N/A,1073929,4%,40%,Added subscribers section (Pragmatic Engineer - 1.07M subscribers as documented)
