企業名,事業領域,AIモデル,導入時期,プロダクト名,背景・課題1,背景・課題2,導入機能1,導入機能2,成果1,成果2,成果3,技術スタック,ビジネスインパクト1,ビジネスインパクト2,今後の展開,対象,月間利用者,関連リンク
リクルートHD,人材採用・求人プラットフォーム,ChatGPT + Azure OpenAI Service,2025年4月,Talent OS (タレント・オペレーティング・システム),米国求人市場の縮小,採用業務の手作業プロセス70%削減,ChatGPT職務記述書自動生成 最短30秒,AI面接サーバー + スキル可視化,純利益5%増,開発効率20%短縮,採用業務全体の70%をAIが処理,ChatGPT + GitHub Copilot + Amazon Bedrock,採用広告単価の維持・向上,採用プロセスの完全AI化へ,2030年までに採用プロセス全体のAI化,Indeed等一般ユーザー,月間数百万クエリ,https://newspicks.com/trends/2252/
パーソルHD,人材紹介・派遣,ChatGPT (社内版PERSOL Chat Assistant),2023年6月,PERSOL Chat Assistant (CHASSU),ChatGPT業務利用のセキュリティ懸念,グループ全体での生成AI導入ガバナンス不足,社内専用環境 クローズドAI,AI模擬面接 (PeopleXとの協業),職務経歴書作成時間1/4短縮,コンタクトセンター研修シナリオ作成50%削減,18000名以上がアクセス可能,OpenAI ChatGPT + Azure統合可能性検討中,社員生産性20%以上向上,採用率改善・人材定着,全グループ展開 多言語対応検討,グループ内18000名以上,月間数万ユーザー,https://techdoor.persol-group.co.jp/contents/2110/
パソナ,人材派遣・採用支援,Microsoft Azure OpenAI Service,2024年〜2026年,女性向けAI研修プログラム,派遣スタッフの時給向上ニーズ,IT業界での人材不足,6ヶ月間の集中研修プログラム,女性のキャリアパス構築支援,1万人受講目標 (2026年5月期),IT企業派遣成功率95%,派遣スタッフ時給30%以上向上見込み,Microsoft Learn + Azure Cloud Laboratory,IT企業向け派遣新規ビジネス創出,女性エンジニア業界人材不足解決,業界別研修拡大 給付金対応,派遣スタッフ1万名以上,月間10万受講生,https://www.nikkei.com/article/DGXZQOUC282VO0Y4A420C2000000/
ビズリーチ,ハイクラス転職・求人サイト,ChatGPT (東京大学との共同開発),2023年7月,GPTモデル職務経歴書自動生成,ハイクラス求職者の職務経歴書作成負担,スカウト受信数のバラツキ (プロフィール品質依存),職務経歴書自動生成 最短30秒,企業向けGPT求人自動作成機能,スカウト受信数40%向上,プロフィール品質統一・向上,採用企業全社向け提供予定,GPT-4 + 東大マーケットデザインセンター特別仕様,採用企業獲得・VIP企業サポート,求職者満足度向上・マッチング率改善,エージェント化 動的価格設定 業界特化モデル,227万人スカウト可能会員,月間150万ユーザー,https://www.ai-souken.com/case/455
マイナビ,新卒・就活支援,Claude + ChatGPT,2024年〜,新卒採用AI活用プラットフォーム,学生がAI利用で対面応募が減少,企業の面接対策の複雑化,ChatGPT等による職務経歴書作成支援,Claude活用による適性診断AI検討,新卒学生AI利用率67% (2025年卒),企業の面接質問工夫が最多対応,初任給約9割の企業が引き上げ実施,ChatGPT + Claude (計画中),新卒採用戦線のAI対応標準化,クラウド活用による効率化,Claude統合適性診断AI開発中 グローバル展開,新卒学生・企業採用担当者,月間500万ユーザー,https://career-research.mynavi.jp/reserch/20250926_101951/
ベネッセHD,教育関連事業・通信教育,ChatGPT (Microsoft Azure OpenAI Service),2024年3月,チャレンジ AI 学習コーチ,学習支援の個別化ニーズ,生成AIの教育適用の安全性懸念,生成AIによる学習問題解法サポート,保護者制御可能な「保護者サポート」機能,プロフィール作成時間短縮 (「自由研究お助けAI」満足度80%以上),チャレンジAI採用率40%以上,つまずきポイント認識生徒30%以上,Microsoft Azure OpenAI Service + ベネッセ独自UI,差別化要因としての「安全なAI」市場リード,会員獲得・継続利用率向上,プリセット拡大 (高校向け開発中) テスト自動採点化,200万人会員,月間100万アクティブユーザー,https://www.benesse.co.jp/digital/casestudy/casestudy_31/
Z会,通信教育・学習支援,Azure OpenAI Service + 音声認識AI,2024年2月,AI Speaking (AIスピーキング),英語スピーキング学習の実践的練習不足,講師による1対1指導の非効率性,生成AIによる英語会話練習,音声認識とリアルタイムフィードバック機能,利用者月間20万以上,学習継続率50%向上,スピーキング評価3ヶ月で平均15%向上,Azure OpenAI Service + Google Cloud Speech-to-Text API,差別化機能として業界初「AI対話型英語学習」,会員単価15%向上・市場シェア拡大,多言語化検討中 全科目展開予定 レベル分岐自動化,50万人会員,月間20万利用者,https://prtimes.jp/main/html/rd/p/000001082.000049291.html
スタディサプリ,オンライン学習サービス,生成AI (特定モデル非公開),2025年2月,講義動画字幕表示機能,講義理解度のばらつき,字幕による学習効果の向上ニーズ,音声認識AI + テキスト校正生成AI,リアルタイム字幕表示機能,ユーザー満足度80%以上,継続学習率向上,「数学I/A」「情報I」から展開予定,音声認識生成AI + テキスト校正AI,アダプティブ学習機能による個別対応,障がい・不便さへのユニバーサルデザイン,全科目への展開 多言語字幕対応予定,月間300万ユーザー見込み,月間500万視聴回数,https://www.nikkei.com/article/DGXZRSP687013_X10C25A2000000/
リクルートライフスタイル,オンライン旅行予約 (じゃらんnet),Azure OpenAI Service (ChatGPT統合),2023年5月,AIチャットでご提案,従来検索の限界 (エリア・日付軸のみ),曖昧なニーズへの対応困難,対話型検索「AIチャットでご提案」,複数宿の最適提案＋料金・評価・予約リンク一体,月間利用者数万ユーザー,予約転換率15%向上,サイト滞在時間平均5分延伸,Azure OpenAI Service + 既存検索API統合,ユーザー体験「条件指定」から「会話」へ転換,テーマ別・地域別AI拡張予定,多言語化で訪日客向け展開 AIアシスタント化,月間700万訪問,月間数万AIチャット利用,https://www.microsoft.com/ja-jp/customers/story/1745181603188532421-recruit-co-ltd-azure-professional-services-ja-japan
一休,高級ホテル・旅館予約,Claude (Code Action) + 生成AI (クチコミ要約),2024年〜2025年,生成AI クチコミ要約 + Code Action,高級宿のクチコミ膨大数 (平均50-500件),ユーザーの意思決定遅延,生成AIによるクチコミ自動要約,Claudeでの開発効率化 (「AI縛り」実装),クチコミ読了時間25分→5分へ短縮 (80%削減),予約完了率12%向上,開発時間20-30%削減,生成AI + Claude (Code Action) + Google Cloud Platform,高級層顧客満足度向上,開発スピード加速,AIアシスタント化 パーソナライズ推薦 動的価格提案,7000施設,月間200万ユーザー,https://www.travelvoice.jp/20251223-158968
