filename,old_subscribers,new_subscribers,growth_rate,engagement_rate,improvement
NL_CASE_P1_005_milk_road.md,"total: 250000, paid: 0","total: 250000, paid: 0, growth_rate_monthly: 30%, engagement_rate: 45%",30%,45%,"Added growth_rate and engagement_rate based on metrics section (growth_rate_monthly: 30.0, engagement_rate: 50.0). Used 45% open_rate from content."
NL_CASE_P1_006_bens_bites.md,"total: 148000, paid: 2200","total: 148000, paid: 2200, growth_rate_monthly: 8.5%, engagement_rate: 46.5%",8.5%,46.5%,"Added growth_rate and engagement_rate based on metrics section (growth_rate_monthly: 8.5) and average open rate 46.5% from content."
NL_CASE_P1_007_tldr.md,"total: 7000000, paid: 0","total: 7000000, paid: 0, growth_rate_monthly: 4.8%, engagement_rate: 45%",4.8%,45%,"Added growth_rate and engagement_rate based on metrics section (growth_rate_monthly: 4.8). Used 45% open_rate from content."
NL_CASE_P1_008_rundown_ai.md,"total: 2000000, paid: 5000","total: 2000000, paid: 5000, growth_rate_monthly: 12.5%, engagement_rate: 46.5%",12.5%,46.5%,"Added growth_rate and engagement_rate based on metrics section (growth_rate_monthly: 12.5). Used 46.5% average open rate from content."
NL_CASE_P1_009_not_boring.md,"total: 255000, paid: 0","total: 255000, paid: 0, growth_rate_monthly: 5%, engagement_rate: 45%",5%,45%,"Added growth_rate and engagement_rate based on metrics section (growth_rate_monthly: 5.0). Used 45% open_rate from content."
NL_CASE_P1_010_the_generalist.md,"total: 157000, paid: 2000","total: 157000, paid: 2000, growth_rate_monthly: 4.5%, engagement_rate: 45%",4.5%,45%,"Added growth_rate and engagement_rate based on metrics section (growth_rate_monthly: 4.5). Used 45% open_rate from content."
NL_CASE_P1_011_growth_design.md,"total: 150000, paid: 500","total: 150000, paid: 500, growth_rate_monthly: 3.5%, engagement_rate: 62%",3.5%,62%,"Added growth_rate and engagement_rate based on metrics section (growth_rate_monthly: 3.5). Used exceptional 62% open_rate from content."
NL_CASE_P1_012_indie_hackers.md,"total: 100000, paid: 0","total: 100000, paid: 0, growth_rate_monthly: 2.5%, engagement_rate: 40%",2.5%,40%,"Added growth_rate and engagement_rate based on metrics section (growth_rate_monthly: 2.5). Used 40% open_rate from content."
NL_CASE_P1_013_dense_discovery.md,"total: 38000, paid: 500","total: 38000, paid: 500, growth_rate_monthly: 2%, engagement_rate: 62%",2%,62%,"Added growth_rate and engagement_rate based on metrics section (growth_rate_monthly: 2.0). Used exceptional 62% open_rate from content."
NL_CASE_P1_014_trends_vc.md,"total: 65000, paid: 1000","total: 65000, paid: 1000, growth_rate_monthly: 7.5%, engagement_rate: 45%",7.5%,45%,"Added growth_rate and engagement_rate based on metrics section (growth_rate_monthly: 7.5). Used 45% open_rate from content."
