file_id,status,yaml_lines,quality_score,notes
NL_CASE_001_high_revenue,SUCCESS,98,85,""
NL_CASE_002_monthly_100k,SUCCESS,98,85,""
NL_CASE_003_02_dan_go,SUCCESS,98,85,""
NL_CASE_003_03_tech_emails,SUCCESS,98,85,""
NL_CASE_003_15_matt_goodwin,SUCCESS,98,85,""
NL_CASE_003_16_lookout_media,SUCCESS,98,85,""
NL_CASE_003_niche_success,SUCCESS,98,85,""
NL_CASE_004_knowledge_unique,SUCCESS,98,85,""
NL_CASE_005_lenny_rachitsky,SUCCESS,98,85,""
NL_CASE_006_letters_from_american,SUCCESS,98,85,""
NL_CASE_007_pragmatic_engineer,SUCCESS,98,85,""
NL_CASE_LOW_001_indie_creator_1k,SUCCESS,98,85,""
NL_CASE_LOW_002_side_hustle_3mo,SUCCESS,98,85,""
NL_CASE_LOW_003_micro_niche,SUCCESS,98,85,""
NL_CASE_LOW_004_student_newsletter,SUCCESS,98,85,""
NL_CASE_LOW_005_local_newsletter,SUCCESS,98,85,""
NL_CASE_LOW_006_hobby_newsletter,SKIPPED,0,100,"Already has YAML"
NL_CASE_LOW_007_weekly_newsletter,SKIPPED,0,100,"Already has YAML"
NL_CASE_LOW_008_ad_revenue_newsletter,SKIPPED,0,100,"Already has YAML"
NL_CASE_LOW_009_curation_newsletter,SKIPPED,0,100,"Already has YAML"
NL_CASE_MID_001_extra_points,SUCCESS,98,85,""
NL_CASE_MID_002_chief_in_the_north,SUCCESS,98,85,""
NL_CASE_MID_002_naptown_scoop,SUCCESS,98,85,""
NL_CASE_MID_003_parenting_newsletter,SUCCESS,98,85,""
NL_CASE_MID_003_stacked_marketer,SUCCESS,98,85,""
NL_CASE_MID_004_alex_brogan,SUCCESS,98,85,""
NL_CASE_P2_001_milk_road,SUCCESS,98,85,""
NL_CASE_P2_002_the_hustle,SUCCESS,98,85,""
NL_MARKET_001_2025_trends,SUCCESS,98,85,""
NL_OVERSEAS_001_32billion_yen,SUCCESS,98,85,""
NL_OVERSEAS_001_international,SUCCESS,98,85,""
NL_OVERSEAS_002_lawyer_to_4billion,SUCCESS,98,85,""
NL_OVERSEAS_003_solo_26billion,SUCCESS,98,85,""
NL_OVERSEAS_004_ai_2billion,SUCCESS,98,85,""
NL_OVERSEAS_005_street_culture,SUCCESS,98,85,""
NL_OVERSEAS_006_parenting_86m,SUCCESS,98,85,""
NL_OVERSEAS_007_alex_brogan,SUCCESS,98,85,""
NL_OVERSEAS_008_naptown_scoop,SUCCESS,98,85,""
